SUPPLIER_CODE;CUSTOMER_CODE;DISTRIBUTOR_CODE;STORE_CODE;PRINCIPAL_CONNECTION_STORE_ID;PM_HANDLING;IS_PRODUCT_MAPPING;IS_BKL;NOTIFICATION_CODE;STATUS;FARMINDO_STORE;SALESMAN_CODE;SALESMAN_NAME;WAREHOUSE_CODE;NOTIFICATION_ALERT_CODE
024398;MAKROINDO;philipspt;06009;62001286;I;Y;N;;A;makroptdpb;;;;
024398;MAKROINDO;philipspt;06013;62001286;I;Y;N;;A;makroptmkb;;;;
024398;MAKROINDO;philipspt;06026;62001286;I;Y;N;;A;makroptbgr;;;;
024398;MAKROINDO;philipspt;06017;62001286;I;Y;N;;A;makroptbjb;;;;
024398;MAKROINDO;philipspt ;06030;72012690;I;Y;N;;A;makroptpknsari;;;;
024398;MAKROINDO;philipspt;06010;62001286;I;Y;N;;A;makroptmdb;;;;
024398;MAKROINDO;philipspt;06018;62001286;I;Y;N;;A;makroptbkb;;;;
024398;MAKROINDO;philipspt ;06036;72012690;I;Y;N;;A;makroptcmhi;;;;
024398;MAKROINDO;philipspt ;06033;72012690;I;Y;N;;A;makroptmnd;;;;
024398;MAKROINDO;philipspt;06002;62001286;I;Y;N;;A;makroptsdb;;;;
024398;MAKROINDO;philipspt;06024;62001286;I;Y;N;;A;makroptcrb;;;;
024398;MAKROINDO;philipspt ;06037;72012690;I;Y;N;;A;makroptmtrm;;;;
024398;MAKROINDO;philipspt;06007;62001286;I;Y;N;;A;makroptasb;;;;
024398;MAKROINDO;philipspt ;06038;72012690;I;Y;N;;A;makropttegal;;;;
024398;MAKROINDO;philipspt;06029;62004150;I;Y;N;;A;makroptbtm;;;;
024398;MAKROINDO;philipspt;06015;62001286;I;Y;N;;A;makroptprb;;;;
024398;MAKROINDO;philipspt;06005;62001286;I;Y;N;;A;makroptbdb;;;;
024398;MAKROINDO;philipspt ;06032;72012690;I;Y;N;;A;makroptsmd;;;;
024398;MAKROINDO;philipspt;06006;62001286;I;Y;N;;A;makroptcpb;;;;
024398;MAKROINDO;philipspt;06014;62001286;I;Y;N;;A;makroptpbb;;;;
024398;MAKROINDO;philipspt;06001;62001286;I;Y;N;;A;makrobaru;;;;
024398;MAKROINDO;philipspt;06022;62001286;I;Y;N;;A;makroptsrg;;;;
024398;MAKROINDO;philipspt;06023;62001286;I;Y;N;;A;makroptckb;;;;
024398;MAKROINDO;philipspt;06019;62001286;I;Y;N;;A;makroptslb;;;;
024398;MAKROINDO;philipspt;06021;62001286;I;Y;N;;A;makroptjtb;;;;
024398;MAKROINDO;philipspt;06008;62001286;I;Y;N;;A;makroptcbb;;;;
024398;MAKROINDO;philipspt;06011;62001286;I;Y;N;;A;makroptsmb;;;;
024398;MAKROINDO;philipspt;06020;62001286;I;Y;N;;A;makroptbpb;;;;
024614;MAKROINDO;nestlept;06017;06D01;I;N;N;;A;makroptbjb;;;;
024614;MAKROINDO;nestlept;06029;06D01;I;N;N;;A;makroptbtm;;;;
024614;MAKROINDO;nestlept;06022;06D01;I;N;N;;A;makroptsrg;;;;
024614;MAKROINDO;nestlept;06038;06D01;I;N;N;;A;makropttegal;;;;
